Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Quang Tri,130.0,616.4,97.1,0.55,348.6,North Central and Central Coast,2014,56.55418559377029
Thua Thien Hue,225.0,1131.8,98.1,0.8,662.6,North Central and Central Coast,2014,58.543912352005655
Da Nang,784.0,1007.7,96.6,2.11,541.2,North Central and Central Coast,2014,53.706460256028585
Quang Nam,141.0,1471.8,95.7,0.59,890.3,North Central and Central Coast,2014,60.49055578203561
Quang Ngai,241.0,1241.4,97.1,0.42,753.8,North Central and Central Coast,2014,60.72176574834863
Binh Dinh,250.0,1514.5,95.5,0.34,931.4,North Central and Central Coast,2014,61.498844503136354
Phu Yen,175.0,887.4,100.1,0.61,538.8,North Central and Central Coast,2014,60.71670047329276
Khanh Hoa,229.0,1196.9,97.6,0.71,691.0,North Central and Central Coast,2014,57.732475561868156
Ninh Thuan,176.0,590.4,101.8,0.94,333.9,North Central and Central Coast,2014,56.55487804878049
Binh Thuan,155.0,1207.4,100.2,0.66,705.4,North Central and Central Coast,2014,58.42305781017061
Kon Tum,50.0,484.2,113.9,2.32,288.4,Highlands,2014,59.562164394878145
Gia Lai,89.0,1377.8,99.3,1.37,833.3,Highlands,2014,60.48047612135288
Dak Lak,140.0,1833.3,101.3,1.13,1092.7,Highlands,2014,59.602901870943114
Dak Nong,88.0,571.3,102.3,2.91,353.5,Highlands,2014,61.87642219499387
Lam Dong,129.0,1259.3,100.3,1.11,748.9,Highlands,2014,59.46954657349322
Binh Phuoc,136.0,932.5,99.1,1.29,564.2,South East,2014,60.50402144772118
Tay Ninh,274.0,1104.2,97.9,0.67,636.7,South East,2014,57.66165549719254
Binh Duong,695.0,1873.6,93.3,3.94,1268.7,South East,2014,67.71456020495303
Dong Nai,481.0,2838.6,95.0,2.38,1627.5,South East,2014,57.33460156415134
Ba Ria - Vung Tau,533.0,1059.5,99.7,1.24,537.4,South East,2014,50.72203869749882
Ho Chi Minh,3809.0,7981.9,92.2,2.07,4188.5,South East,2014,52.474974630100604
Long An,329.0,1477.3,98.7,0.51,890.9,Mekong Delta,2014,60.30596358221079
Tien Giang,684.0,1716.1,96.3,0.75,1050.8,Mekong Delta,2014,61.23186294504982
Ben Tre,535.0,1262.2,96.2,0.13,808.6,Mekong Delta,2014,64.06274758358423
Tra Vinh,440.0,1029.3,96.3,0.53,609.7,Mekong Delta,2014,59.234431166812406
Vinh Long,685.0,1041.5,97.0,0.36,627.6,Mekong Delta,2014,60.25924147863658
Dong Thap,498.0,1681.3,99.8,0.17,1016.8,Mekong Delta,2014,60.47701183607922
An Giang,610.0,2155.8,98.1,0.11,1218.3,Mekong Delta,2014,56.51266351238519
Kien Giang,275.0,1745.5,100.4,0.64,1007.1,Mekong Delta,2014,57.69693497565168
Can Tho,879.0,1238.3,98.4,0.8,700.0,Mekong Delta,2014,56.52911249293386
Hau Giang,480.0,768.4,99.5,0.28,453.3,Mekong Delta,2014,58.99271212909943
Soc Trang,395.0,1307.7,100.3,0.24,699.6,Mekong Delta,2014,53.498508832300985
Bac Lieu,356.0,877.9,101.3,0.48,505.8,Mekong Delta,2014,57.614762501423854
Ca Mau,230.0,1216.4,100.6,0.18,700.1,Mekong Delta,2014,57.555080565603426
Ha Noi,2171.0,7216.0,95.6,1.51,3820.9,Hong river Delta,2015,52.95038802660754
Vinh Phuc,852.0,1054.5,96.8,1.21,631.4,Hong river Delta,2015,59.87671882408724
Bac Ninh,1404.0,1154.7,96.8,2.07,661.7,Hong river Delta,2015,57.304927686845076
Quang Ninh,199.0,1211.3,100.5,0.99,692.4,Hong river Delta,2015,57.16172707008999
Hai Duong,1072.0,1774.5,95.9,0.64,1037.5,Hong river Delta,2015,58.467173851789234
Hai Phong,1285.0,1963.3,98.8,0.89,1128.1,Hong river Delta,2015,57.459379615952734
Hung Yen,1257.0,1164.4,97.0,0.52,702.4,Hong river Delta,2015,60.3229130882858
Thai Binh,1139.0,1789.2,93.6,0.02,1110.8,Hong river Delta,2015,62.083612787838135
Ha Nam,931.0,802.7,97.7,0.42,472.1,Hong river Delta,2015,58.81400274074997
Nam Dinh,1119.0,1850.6,96.2,0.27,1150.5,Hong river Delta,2015,62.16902626175295
Ninh Binh,686.0,944.4,99.5,0.92,584.5,Hong river Delta,2015,61.89114781872088
Ha Giang,101.0,802.0,101.4,1.64,512.1,Midlands and northern mountains,2015,63.852867830423946
Cao Bang,78.0,522.4,97.8,0.86,360.9,Midlands and northern mountains,2015,69.08499234303216
Bac Kan,64.0,313.1,98.9,1.89,223.5,Midlands and northern mountains,2015,71.3829447460875
Tuyen Quang,130.0,760.3,97.8,0.87,485.5,Midlands and northern mountains,2015,63.856372484545574
Lao Cai,106.0,674.5,102.2,1.41,422.5,Midlands and northern mountains,2015,62.63899184581171
